Movie Name,Release Date,Ratings,Movie Time,Genre
The Shawshank Redemption (1994),1994,9.3,2h 22min,Drama
The Godfather (1972),1972,9.2,2h 55min,Crime
The Dark Knight (2008),2008,9.0,2h 32min,Action
The Godfather: Part II (1974),1974,9.0,3h 22min,Crime
12 Angry Men (1957),1957,9.0,1h 36min,Crime
The Lord of the Rings: The Return of the King (2003),2003,8.9,3h 21min,Action
Pulp Fiction (1994),1994,8.9,2h 34min,Crime
Schindler's List (1993),1993,8.9,3h 15min,Biography
Inception (2010),2010,8.8,2h 28min,Action
Fight Club (1999),1999,8.8,2h 19min,Drama
The Lord of the Rings: The Fellowship of the Ring (2001),2001,8.8,2h 58min,Action
Forrest Gump (1994),1994,8.8,2h 22min,Drama
The Good, the Bad and the Ugly (1966),1966,8.8,2h 58min,Western
The Lord of the Rings: The Two Towers (2002),2002,8.7,2h 59min,Action
The Matrix (1999),1999,8.7,2h 16min,Action
Goodfellas (1990),1990,8.7,2h 26min,Biography
Star Wars: Episode V - The Empire Strikes Back (1980),1980,8.7,2h 4min,Action
One Flew Over the Cuckoo's Nest (1975),1975,8.7,2h 13min,Drama
Hamilton (2020),2020,8.6,2h 40min,Biography
Parasite (2019),2019,8.6,2h 12min,Comedy
Interstellar (2014),2014,8.6,2h 49min,Adventure
City of God (2002),2002,8.6,2h 10min,Crime
Spirited Away (2001),2001,8.6,2h 5min,Animation
Saving Private Ryan (1998),1998,8.6,2h 49min,Drama
The Green Mile (1999),1999,8.6,3h 9min,Crime
Life Is Beautiful (1997),1997,8.6,1h 56min,Comedy
Se7en (1995),1995,8.6,2h 7min,Crime
The Silence of the Lambs (1991),1991,8.6,1h 58min,Crime
Star Wars: Episode IV - A New Hope (1977),1977,8.6,2h 1min,Action
Hara-Kiri (1962),1962,8.6,2h 13min,Action
Seven Samurai (1954),1954,8.6,3h 27min,Action
It's a Wonderful Life (1946),1946,8.6,2h 10min,Drama
Joker (2019),2019,8.5,2h 2min,Crime
Whiplash (2014),2014,8.5,1h 46min,Drama
The Intouchables (2011),2011,8.5,1h 52min,Biography
The Prestige (2006),2006,8.5,2h 10min,Drama
The Departed (2006),2006,8.5,2h 31min,Crime
The Pianist (2002),2002,8.5,2h 30min,Biography
Gladiator (2000),2000,8.5,2h 35min,Action
American History X (1998),1998,8.5,1h 59min,Drama
The Usual Suspects (1995),1995,8.5,1h 46min,Crime
Léon: The Professional (1994),1994,8.5,1h 50min,Action
The Lion King (1994),1994,8.5,1h 28min,Animation
Terminator 2: Judgment Day (1991),1991,8.5,2h 17min,Action
Cinema Paradiso (1988),1988,8.5,2h 35min,Drama
Grave of the Fireflies (1988),1988,8.5,1h 29min,Animation
Back to the Future (1985),1985,8.5,1h 56min,Adventure
Once Upon a Time in the West (1968),1968,8.5,2h 45min,Western
Psycho (1960),1960,8.5,1h 49min,Horror
Casablanca (1942),1942,8.5,1h 42min,Drama
